file_stem,fx,fy,cx,cy,f,K_00,K_01,K_02,K_10,K_11,K_12,K_20,K_21,K_22
ML0_673757778EDR_S0872902MCAM00037D1,4497.82498,-3793.6020499999995,6732.809930614238,7104.502080699084,4145.7135149999995,4145.7135149999995,0.0,6732.809930614238,0.0,4145.7135149999995,7104.502080699084,0.0,0.0,1.0
ML0_673757797EDR_S0872902MCAM00037D1,4112.36784,-3745.0591000000004,6974.925604042368,7130.21125087239,3928.71347,3928.71347,0.0,6974.925604042368,0.0,3928.71347,7130.21125087239,0.0,0.0,1.0
ML0_673757813EDR_S0872902MCAM00037D1,3679.3391499999993,-3698.7681999999995,7212.739616701285,7154.334396432232,3689.053674999999,3689.053674999999,0.0,7212.739616701285,0.0,3689.053674999999,7154.334396432232,0.0,0.0,1.0
ML0_673757840EDR_S0872902MCAM00037D1,3228.0531499999993,-3658.7491,7425.68572647267,7174.881055570832,3443.4011249999994,3443.4011249999994,0.0,7425.68572647267,0.0,3443.4011249999994,7174.881055570832,0.0,0.0,1.0
ML0_673757856EDR_S0872902MCAM00037D1,2760.39896,-3625.2685999999994,7611.920661139974,7191.857259605542,3192.83378,3192.83378,0.0,7611.920661139974,0.0,3192.83378,7191.857259605542,0.0,0.0,1.0
ML0_673757884EDR_S0872902MCAM00037D1,2273.32905,-3597.5888999999997,7771.300898830819,7205.743449323056,2935.4589749999996,2935.4589749999996,0.0,7771.300898830819,0.0,2935.4589749999996,7205.743449323056,0.0,0.0,1.0
ML0_674204096EDR_S0880000MCAM00054D1,-2112.0345589999997,-3917.1635,7816.677688199101,7037.1301022145035,3014.5990295,3014.5990295,0.0,7816.677688199101,0.0,3014.5990295,7037.1301022145035,0.0,0.0,1.0
ML0_674204124EDR_S0880000MCAM00054D1,-2582.2649920000003,-3938.7706,7674.180058306511,7025.059472726698,3260.517796,3260.517796,0.0,7674.180058306511,0.0,3260.517796,7025.059472726698,0.0,0.0,1.0
ML0_674204140EDR_S0880000MCAM00054D1,-3058.5682450000004,-3965.9811000000004,7497.086123405856,7009.734053774567,3512.2746725000006,3512.2746725000006,0.0,7497.086123405856,0.0,3512.2746725000006,7009.734053774567,0.0,0.0,1.0
ML0_674204168EDR_S0880000MCAM00054D1,-3521.375326,-3997.8086200000002,7291.162909839907,6991.6303245686895,3759.591973,3759.591973,0.0,7291.162909839907,0.0,3759.591973,6991.6303245686895,0.0,0.0,1.0
ML0_674204273EDR_S0880000MCAM00054D1,-1627.6857700000003,-4241.136799999999,7931.694594228879,6846.761845930048,2934.4112849999997,2934.4112849999997,0.0,7931.694594228879,0.0,2934.4112849999997,6846.761845930048,0.0,0.0,1.0
MR0_673757778EDR_S0872902MCAM00037D1,12850.5888,-10835.870900000002,19315.879198016453,20486.657426419428,11843.22985,11843.22985,0.0,19315.879198016453,0.0,11843.22985,20486.657426419428,0.0,0.0,1.0
MR0_673757797EDR_S0872902MCAM00037D1,11733.1027,-10712.178100000001,20014.385761935322,20551.593730503857,11222.6404,11222.6404,0.0,20014.385761935322,0.0,11222.6404,20551.593730503857,0.0,0.0,1.0
MR0_673757884EDR_S0872902MCAM00037D1,6423.4055,-10357.946,22293.072732803244,20732.384672896507,8390.67575,8390.67575,0.0,22293.072732803244,0.0,8390.67575,20732.384672896507,0.0,0.0,1.0
MR0_674204096EDR_S0880000MCAM00054D1,-6123.619500000001,-11415.3968,22377.27136324464,20169.470202215063,8769.508150000001,8769.508150000001,0.0,22377.27136324464,0.0,8769.508150000001,20169.470202215063,0.0,0.0,1.0
MR0_674204124EDR_S0880000MCAM00054D1,-7463.8603,-11490.4664,21966.61436138234,20126.80423329018,9477.163349999999,9477.163349999999,0.0,21966.61436138234,0.0,9477.163349999999,20126.80423329018,0.0,0.0,1.0
MR0_674204140EDR_S0880000MCAM00054D1,-8819.684,-11581.323999999999,21458.204749476085,20074.671270915544,10200.503999999999,10200.503999999999,0.0,21458.204749476085,0.0,10200.503999999999,20074.671270915544,0.0,0.0,1.0
MR0_674204168EDR_S0880000MCAM00054D1,-10135.255299999999,-11684.5579,20869.06362984174,20014.744029794067,10909.906599999998,10909.906599999998,0.0,20869.06362984174,0.0,10909.906599999998,20014.744029794067,0.0,0.0,1.0
